name,code,first contract date,first data date,currency,group,universe,,,,,
Soybean Meal,SM,1/1/1979,1/25/1978,USD,Agricultural,25Y,,,,,
Chicago SRW Wheat,W,3/1/1979,1/5/1978,USD,Agricultural,25Y,,,,,
Feeder Cattle,FC,1/1/1980,1/22/1979,USD,Agricultural,25Y,,,,,
Live Cattle,LC,2/1/1980,10/23/1978,USD,Agricultural,25Y,,,,,
Lean Hogs,LH,2/1/1980,11/14/1979,USD,Agricultural,25Y,,,,,
Rough Rice,RR,11/1/1986,8/20/1986,USD,Agricultural,25Y,,,,,
White Sugar,LSU,3/1/1990,9/13/1988,USD,Agricultural,25Y,,,,,
Feed Wheat,LWB,6/1/1992,12/2/1991,GBP,Agricultural,25Y,,,,,
NY Harbor ULSD,HO,12/1/1979,2/2/1979,USD,Non-Agricultural,25Y,,,,,
Gold,GC,1/1/1980,10/30/1979,USD,Non-Agricultural,25Y,,,,,
Platinum,PL,1/1/1980,5/15/1978,USD,Non-Agricultural,25Y,,,,,
Silver,SI,1/1/1980,3/1/1978,USD,Non-Agricultural,25Y,,,,,
Palladium,PA,12/1/1982,11/1/1982,USD,Non-Agricultural,25Y,,,,,
Mini-Gold,YG,6/1/1984,6/13/1984,USD,Non-Agricultural,25Y,,,,,
mini-sized Silver,YI,5/1/1983,4/15/1983,USD,Non-Agricultural,25Y,,,,,
Crude Oil,CL,6/1/1983,3/30/1983,USD,Non-Agricultural,25Y,,,,,
Copper,HG,1/1/1989,7/29/1988,USD,Non-Agricultural,25Y,,,,,
Brent Crude Oil,BC,9/1/1988,6/23/1988,USD,Non-Agricultural,25Y,,,,,
Gas Oil,GO,8/1/1989,11/10/1988,USD,Non-Agricultural,25Y,,,,,
Henry Hub Natural Gas,NG,6/1/1990,4/3/1990,USD,Non-Agricultural,25Y,,,,,
British Pound,BP,3/1/1980,3/20/1979,USD,Currencies,25Y,,,,,
Canadian Dollar,CD,3/1/1980,3/5/1979,USD,Currencies,25Y,,,,,
Japanese Yen,JY,3/1/1980,5/1/1979,USD,Currencies,25Y,,,,,
Swiss Franc,SF,3/1/1980,3/20/1979,USD,Currencies,25Y,,,,,
Australian Dollar,AD,3/1/1987,1/13/1987,USD,Currencies,25Y,,,,,
30-Year U.S. Treasury Bond,US,3/1/1980,3/6/1978,USD,Interest Rates,25Y,,,,,
Eurodollar,ED,6/1/1982,2/1/1982,USD,Interest Rates,25Y,,,,,
10-Year U.S. Treasury Note,TY,6/1/1982,5/3/1982,USD,Interest Rates,25Y,,,,,
ASX 10 Year Treasury Bond,YXB,3/1/1985,12/5/1984,AUD,Interest Rates,25Y,,,,,
Three-Month Canadian Bankers Acceptance,BAX,6/1/1988,4/22/1988,CAD,Interest Rates,25Y,,,,,
30 Day Federal Funds,FF,10/1/1988,10/3/1988,USD,Interest Rates,25Y,,,,,
Long Gilt,LLG,9/1/1988,2/23/1988,GBP,Interest Rates,25Y,,,,,
Three Month Sterling (Short Sterling),LSS,9/1/1990,8/17/1990,GBP,Interest Rates,25Y,,,,,
2-Year U.S. Treasury Note,TU,9/1/1990,6/22/1990,USD,Interest Rates,25Y,,,,,
ASX 90 Day Bank Accepted Bills,YIR,3/1/1991,3/10/1989,AUD,Interest Rates,25Y,,,,,
ASX 3 Year Treasury Bond,YYB,6/1/1988,5/17/1988,AUD,Interest Rates,25Y,,,,,
5-Year U.S. Treasury Note,FV,6/1/1988,5/20/1988,USD,Interest Rates,25Y,,,,,
Three Month Euro Swiss Franc (Euro-Swiss),LES,12/1/1991,9/24/1991,CHF,Interest Rates,25Y,,,,,
US Dollar Index,DX,3/1/1986,11/20/1985,USD,Indicies,25Y,,,,,
S&P 500,SP,6/1/1982,4/21/1982,USD,Indicies,25Y,,,,,
CAC 40,FCE,9/1/1988,8/18/1988,EUR,Indicies,25Y,,,,,
Nikkei 225 Dollar,NK,12/1/1990,9/25/1990,USD,Indicies,25Y,,,,,
Nikkei 225 (SGX),SNI,9/1/1990,9/21/1989,JPY,Indicies,25Y,,,,,
ASX SPI 200 Merged,SPIM,3/1/1983,2/16/1983,AUD,Indicies,25Y,,,,,
,,,,,,,,,,,
Soybean Oil,BO,1/1/1979,1/17/1978,USD,Agricultural,30Y,,,,,
Cocoa,CC,12/1/1980,12/19/1979,USD,Agricultural,30Y,,,,,
Cotton No. 2,CT,3/1/1980,9/19/1978,USD,Agricultural,30Y,,,,,
Coffee C,KC,3/1/1980,12/14/1978,USD,Agricultural,30Y,,,,,
Random Length Lumber,LB,1/1/1980,3/21/1979,USD,Agricultural,30Y,,,,,
London Cocoa,LCC,3/1/1983,10/1/1981,GBP,Agricultural,30Y,,,,,
Robusta Coffee 10 Tonne,LRC,1/1/1983,12/1/1981,USD,Agricultural,30Y,,,,,
FCOJ-A,OJ,1/1/1980,8/8/1978,USD,Agricultural,30Y,,,,,
Sugar No. 11,SB,1/1/1980,9/21/1978,USD,Agricultural,30Y,,,,,
Corn,C,3/1/1979,1/4/1978,USD,Agricultural,30Y,,,,,
KC HRW Wheat,KW,3/1/1980,4/23/1979,USD,Agricultural,30Y,,,,,
Hard Red Spring Wheat,MW,3/1/1980,4/5/1979,USD,Agricultural,30Y,,,,,
Oats,O,3/1/1979,4/26/1978,USD,Agricultural,30Y,,,,,
Canola,RS,1/1/1981,11/18/1980,CAD,Agricultural,30Y,,,,,
Soybean,S,1/1/1979,11/21/1977,USD,Agricultural,30Y,,,,,
Soybean Meal,SM,1/1/1979,1/25/1978,USD,Agricultural,30Y,,,,,
Chicago SRW Wheat,W,3/1/1979,1/5/1978,USD,Agricultural,30Y,,,,,
Feeder Cattle,FC,1/1/1980,1/22/1979,USD,Agricultural,30Y,,,,,
Live Cattle,LC,2/1/1980,10/23/1978,USD,Agricultural,30Y,,,,,
Lean Hogs,LH,2/1/1980,11/14/1979,USD,Agricultural,30Y,,,,,
Rough Rice,RR,11/1/1986,8/20/1986,USD,Agricultural,30Y,,,,,
NY Harbor ULSD,HO,12/1/1979,2/2/1979,USD,Non-Agricultural,30Y,,,,,
Gold,GC,1/1/1980,10/30/1979,USD,Non-Agricultural,30Y,,,,,
Platinum,PL,1/1/1980,5/15/1978,USD,Non-Agricultural,30Y,,,,,
Silver,SI,1/1/1980,3/1/1978,USD,Non-Agricultural,30Y,,,,,
Palladium,PA,12/1/1982,11/1/1982,USD,Non-Agricultural,30Y,,,,,
Mini-Gold,YG,6/1/1984,6/13/1984,USD,Non-Agricultural,30Y,,,,,
mini-sized Silver,YI,5/1/1983,4/15/1983,USD,Non-Agricultural,30Y,,,,,
Crude Oil,CL,6/1/1983,3/30/1983,USD,Non-Agricultural,30Y,,,,,
British Pound,BP,3/1/1980,3/20/1979,USD,Currencies,30Y,,,,,
Canadian Dollar,CD,3/1/1980,3/5/1979,USD,Currencies,30Y,,,,,
Japanese Yen,JY,3/1/1980,5/1/1979,USD,Currencies,30Y,,,,,
Swiss Franc,SF,3/1/1980,3/20/1979,USD,Currencies,30Y,,,,,
Australian Dollar,AD,3/1/1987,1/13/1987,USD,Currencies,30Y,,,,,
30-Year U.S. Treasury Bond,US,3/1/1980,3/6/1978,USD,Interest Rates,30Y,,,,,
Eurodollar,ED,6/1/1982,2/1/1982,USD,Interest Rates,30Y,,,,,
10-Year U.S. Treasury Note,TY,6/1/1982,5/3/1982,USD,Interest Rates,30Y,,,,,
ASX 10 Year Treasury Bond,YXB,3/1/1985,12/5/1984,AUD,Interest Rates,30Y,,,,,
US Dollar Index,DX,3/1/1986,11/20/1985,USD,Indicies,30Y,,,,,
S&P 500,SP,6/1/1982,4/21/1982,USD,Indicies,30Y,,,,,
ASX SPI 200 Merged,SPIM,3/1/1983,2/16/1983,AUD,Indicies,30Y,,,,,
,,,,,,,,,,,
Soybean Oil,BO,1/1/1979,1/17/1978,USD,Agricultural,35Y,,,,,
Cocoa,CC,12/1/1980,12/19/1979,USD,Agricultural,35Y,,,,,
Cotton No. 2,CT,3/1/1980,9/19/1978,USD,Agricultural,35Y,,,,,
Coffee C,KC,3/1/1980,12/14/1978,USD,Agricultural,35Y,,,,,
Random Length Lumber,LB,1/1/1980,3/21/1979,USD,Agricultural,35Y,,,,,
London Cocoa,LCC,3/1/1983,10/1/1981,GBP,Agricultural,35Y,,,,,
Robusta Coffee 10 Tonne,LRC,1/1/1983,12/1/1981,USD,Agricultural,35Y,,,,,
FCOJ-A,OJ,1/1/1980,8/8/1978,USD,Agricultural,35Y,,,,,
Sugar No. 11,SB,1/1/1980,9/21/1978,USD,Agricultural,35Y,,,,,
Corn,C,3/1/1979,1/4/1978,USD,Agricultural,35Y,,,,,
KC HRW Wheat,KW,3/1/1980,4/23/1979,USD,Agricultural,35Y,,,,,
Hard Red Spring Wheat,MW,3/1/1980,4/5/1979,USD,Agricultural,35Y,,,,,
Oats,O,3/1/1979,4/26/1978,USD,Agricultural,35Y,,,,,
Canola,RS,1/1/1981,11/18/1980,CAD,Agricultural,35Y,,,,,
Soybean,S,1/1/1979,11/21/1977,USD,Agricultural,35Y,,,,,
Soybean Meal,SM,1/1/1979,1/25/1978,USD,Agricultural,35Y,,,,,
Chicago SRW Wheat,W,3/1/1979,1/5/1978,USD,Agricultural,35Y,,,,,
Feeder Cattle,FC,1/1/1980,1/22/1979,USD,Agricultural,35Y,,,,,
Live Cattle,LC,2/1/1980,10/23/1978,USD,Agricultural,35Y,,,,,
Lean Hogs,LH,2/1/1980,11/14/1979,USD,Agricultural,35Y,,,,,
NY Harbor ULSD,HO,12/1/1979,2/2/1979,USD,Non-Agricultural,35Y,,,,,
Gold,GC,1/1/1980,10/30/1979,USD,Non-Agricultural,35Y,,,,,
