name,market code,roll out month,roll in month,month,day
,,May,Jun,Apr,14
,,Jun,Jul,May,14
,,Jul,Aug,Jun,14
,,Aug,Sep,Jul,14
,,Sep,Oct,Aug,14
,,Oct,Nov,Sep,14
,,Nov,Dec,Oct,14
,,Dec,Jan,Nov,14
norgate,AC,Jan,Feb,Dec,27
,,Feb,Mar,Jan,27
,,Mar,Apr,Feb,25
,,Apr,May,Mar,27
,,May,Jun,Apr,27
,,Jun,Jul,May,27
,,Jul,Aug,Jun,27
,,Aug,Sep,Jul,27
,,Sep,Oct,Aug,27
,,Oct,Nov,Sep,27
,,Nov,Dec,Oct,27
,,Dec,Jan,Nov,27
norgate,GO,Jan,Feb,Jan,8
,,Feb,Mar,Feb,8
,,Mar,Apr,Mar,8
,,Apr,May,Apr,8
,,May,Jun,May,8
,,Jun,Jul,Jun,8
,,Jul,Aug,Jul,8
,,Aug,Sep,Aug,8
,,Sep,Oct,Sep,8
,,Oct,Nov,Oct,8
,,Nov,Dec,Nov,8
,,Dec,Jan,Dec,8
norgate,HO,Jan,Feb,Dec,25
,,Feb,Mar,Jan,25
,,Mar,Apr,Feb,25
,,Apr,May,Mar,25
,,May,Jun,Apr,25
,,Jun,Jul,May,25
,,Jul,Aug,Jun,25
,,Aug,Sep,Jul,25
,,Sep,Oct,Aug,25
,,Oct,Nov,Sep,25
,,Nov,Dec,Oct,25
,,Dec,Jan,Nov,25
norgate,NG,Jan,Feb,Dec,16
,,Feb,Mar,Jan,16
,,Mar,Apr,Feb,16
,,Apr,May,Mar,16
,,May,Jun,Apr,16
,,Jun,Jul,May,16
,,Jul,Aug,Jun,16
,,Aug,Sep,Jul,16
,,Sep,Oct,Aug,16
,,Oct,Nov,Sep,16
,,Nov,Dec,Oct,16
,,Dec,Jan,Nov,16
norgate,RB,Jan,Feb,Dec,27
,,Feb,Mar,Jan,27
,,Mar,Apr,Feb,25
,,Apr,May,Mar,27
,,May,Jun,Apr,27
,,Jun,Jul,May,27
,,Jul,Aug,Jun,27
,,Aug,Sep,Jul,27
,,Sep,Oct,Aug,27
,,Oct,Nov,Sep,27
,,Nov,Dec,Oct,27
,,Dec,Jan,Nov,27
norgate,WT,Jan,Feb,Dec,15
,,Feb,Mar,Jan,15
,,Mar,Apr,Feb,15
,,Apr,May,Mar,15
,,May,Jun,Apr,15
,,Jun,Jul,May,15
,,Jul,Aug,Jun,15
,,Aug,Sep,Jul,15
,,Sep,Oct,Aug,15
,,Oct,Nov,Sep,15
,,Nov,Dec,Oct,15
,,Dec,Jan,Nov,15
